James;1146218927;jbutt@gmail.com;1|LULULULULULULU|1,4,3,2
Josephine;8102929388;josephine_darakjy@darakjy.org;1|LULULULULULULU|1,4,3,2
Art;8566368749;art@venere.org;1|LULULULULULULU|1,4,3,2
Lenna;9073854412;lpaprocki@hotmail.com;2|1,4,3,2
Donette;5135701893;donette.foller@cox.net;2
Simona;4195032484;simona@morasca.com;2
Mitsue;7735736914;mitsue_tollner@yahoo.com;2
Leota;4087523500;leota@hotmail.com;2
Sage;6054142147;sage_wieser@cox.net;1|Grupo Louco
Kris;4106558723;kris@gmail.com;1|2|Grupo Louco
Minna;2158741229;minna_amigon@yahoo.com;
Abel;6313353414;amaclead@gmail.com;
Kiley;3104985651;kiley.caldarera@aol.com;
Graciela;4407808425;gruta@cox.net;
Cammy;9565376195;calbares@gmail.com;Outro Grupo Ae
Mattie;6022774385;mattie@aol.com;Outro Grupo Ae
Meaghan;9313139635;meaghan@hotmail.com;Outro Grupo Ae
Gladys;4146619598;gladys.rim@rim.org;Outro Grupo Ae
Yuki;3132887937;yuki_whobrey@aol.com;Outro Grupo Ae
fFletcher;8158282147;letcher.flosi@yahoo.com;Outro Grupo Ae
Bette;6105453615;bette_nicka@cox.net;Outro Grupo Ae
Veronika;4085401785;vinouye@aol.com;Outro Grupo Ae
Willard;9723039197;willard@hotmail.com;Outro Grupo Ae
Maryann;5189667987;mroyster@royster.com;Outro Grupo Ae
Alisha;7326583154;alisha@slusarski.com;Outro Grupo Ae
