James;1146218927;jbutt@gmail.com;
Josephine;8566368749;josephine_darakjy@darakjy.org;
Art;9073854412;art@venere.org;
Lenna;5135701893;lpaprocki@hotmail.com;
Donette;7735736914;donette.foller@cox.net;
Simona;4087523500;simona@morasca.com;
Mitsue;6054142147;mitsue_tollner@yahoo.com;
Leota;2158741229;leota@hotmail.com;
Sage;9565376195;sage_wieser@cox.net;
Kris;6022774385;kris@gmail.com;
Minna;4146619598;minna_amigon@yahoo.com;
Abel;3132887937;amaclead@gmail.com;
Kiley;8158282147;kiley.caldarera@aol.com;
Graciela;4085401785;gruta@cox.net;
Cammy;9723039197;calbares@gmail.com;
Mattie;5189667987;mattie@aol.com;
Meaghan;7326583154;meaghan@hotmail.com;
